N_train,Method,M1_RMSE_mean,M1_RMSE_std,M5_R2w_mean,M5_R2w_std
20,Proposed,204.9444,94.7048,-355.1164,298.3788
20,MERF,44.0731,6.0837,-1.8242,0.9677
20,GPBoost,45.0323,3.9448,-1.3976,0.6302
30,Proposed,197.0685,96.3822,-336.9553,364.2287
30,MERF,42.2382,1.5193,-1.3946,0.3502
30,GPBoost,44.5734,3.8839,-1.4652,1.003
40,Proposed,92.5097,51.0949,-73.0248,89.192
40,MERF,40.2049,1.0138,-1.0731,0.0755
40,GPBoost,40.6729,1.0496,-0.8464,0.2828
50,Proposed,131.3495,0.0,-117.4029,0.0
50,MERF,40.3788,0.0,-1.0699,0.0
50,GPBoost,40.4691,0.0,-0.7332,0.0
