Feature,BP_PC1,BP_PC2,BP_PC3,BP_PC4,BP_PC5,BP_PC6,BP_PC7,BP_PC8
SBP_rest_pre_mmHg,0.21946742488099363,0.36268527773295295,-0.003285103656986749,0.17700850362060389,-0.13782234312676833,-0.3663804090956892,-0.08050391653818247,0.1448605957005392
DBP_rest_pre_mmHg,0.09343979580250361,0.2925002923645972,-0.2510837470302944,-0.4116217417194362,0.26624598389624315,-0.10450668085896628,0.13486132186619146,0.07148427415773186
MAP_rest_pre_mmHg,0.16431081916840634,0.38225521016958414,-0.20268633238188355,-0.25804797211243174,0.15740260720753776,-0.23299898273781441,0.07536399517283471,0.11628905210698577
PP_rest_pre_mmHg,0.10796271182816977,0.06323309023603169,0.20665817592766317,0.4932927031522598,-0.33883426093518554,-0.2231775614471519,-0.18068707462120925,0.06307930345686855
SBP_post_set_mmHg,0.14965901228744094,0.31828622110299487,0.25386070724389337,0.26814306458343456,0.18728762030981794,-0.2247206235104814,0.24571891419185268,-0.20498504506060827
DBP_post_set_mmHg,0.1469399116946737,0.2808462395688666,0.06099390575744233,0.051745918239833495,0.1794435449638454,0.48607328721757187,-0.3956007685782281,0.1477060213094342
MAP_post_set_mmHg,0.18549556803599787,0.3703172363386126,0.17069248238241488,0.17059767135975024,0.2287388440651263,0.26194754981168017,-0.1824869083739547,0.012826983150089972
delta_SBP_mmHg,-0.06625813560388219,-0.016776631017874372,0.33560493973073224,0.13919760206233148,0.4091091503478966,0.14343426280047572,0.4170797275217916,-0.4406278086155875
SBP_mean_e,0.3883595905334027,-0.02770442583360187,-0.05200815641714415,-0.0031097092674682338,-0.20266157386108113,0.1430660614502372,0.18064768552522617,-0.059103307396663904
DBP_mean_e,0.3814534000500517,-0.021744302525133628,-0.07703019674776575,-0.05142766375479729,-0.18647612778550096,0.2080231255238028,0.1764886410691312,-0.05911296946243564
MAP_e,0.3861785102881241,-0.02450192690089755,-0.06617375534715657,-0.03004332714757148,-0.19451266586555324,0.1798716550048913,0.1791052951838361,-0.05936080240898277
Delta_SBP_e,0.026523320492497844,-0.15715372119380186,0.18536789368020984,0.15335830457515867,0.1797282317480331,-0.008309946685981975,0.4698145405042195,0.7892574937508285
Delta_DBP_e,-0.06856271901332339,0.006843440235098476,0.33223168226870636,-0.1580410916736928,-0.004253925447156091,0.3462745546357185,-0.131530624376419,0.24351027005926493
ARV_SBP_mmHg,0.3058882172546344,-0.17829511619711205,0.29094419089248247,-0.24415680857250016,-0.012955437033362074,-0.12391319672163187,-0.07062638298850295,-0.01480915190538025
SV_SBP_mmHg,0.2951535635352026,-0.18352608960904954,0.29454023876791435,-0.2604772488207415,-0.018974800384078123,-0.09686996018857252,-0.07921221018853007,-0.05478393151341509
ARV_DBP_mmHg,0.2955452463875314,-0.27426622440216636,-0.20749942914346486,0.16396565412614164,0.22128134004120142,-0.0033888610295976754,-0.07431952699469653,0.0029660838653311184
SV_DBP_mmHg,0.29486122921892427,-0.2720947205295239,-0.22248132626457273,0.16190864028864765,0.19317238371837395,0.02479567481487258,-0.055135371795416575,-0.02390766375794154
VIM_SBP_mmHg,0.09643178998321106,-0.13608224642125796,0.41778349860113057,-0.2825143543873061,0.15602711913881911,-0.3285727011600929,-0.2765416305709825,0.008247386150742393
VIM_DBP_mmHg,0.08075060424740779,-0.2352802360759231,-0.216722409476104,0.23199983304536678,0.47582720259565586,-0.15935947141181916,-0.28754389715229123,0.040559264812183915
