,Estimate,SE,z_stat,p_value,CI_low,CI_high
Intercept,-0.28821963264454076,0.6136159147074602,-0.46970690579619123,0.6385644333302956,-1.4908847258117646,0.914445460522683
C(Muscle)[T.BF],0.40406635765385684,0.21712275692326377,1.8610041774509307,0.06274358676556605,-0.021486426139784798,0.8296191414474985
C(Muscle)[T.DL],0.21989923694501737,0.19109232057263906,1.1507486867397587,0.24983564050665708,-0.1546348290995376,0.5944333029895723
C(Muscle)[T.FDS],0.08995667343842748,0.3364370693953231,0.26738038587753193,0.7891762996647875,-0.5694478656406086,0.7493612125174636
C(Muscle)[T.GA],-1.195759026323184,0.21523531373761207,-5.55558939450291,2.7667656978009218e-08,-1.617612489450083,-0.7739055631962853
C(Muscle)[T.TA],0.9216829557033104,0.2648705419626094,3.4797488194569417,0.0005018840835903112,0.4025462328909909,1.4408196785156298
C(Muscle)[T.TB],-0.26847519840029455,0.19527082893941644,-1.37488635582937,0.16916667993615664,-0.6511989903528325,0.11424859355224337
C(Muscle)[T.VL],0.3401316622183303,0.20170193745233417,1.6863083543692265,0.09173642274977101,-0.05519687080019531,0.7354601952368559
HR_PC1,-0.002683554905378984,0.016886188925696224,-0.1589201043046094,0.8737318210435154,-0.035779877035882694,0.030412767225124725
HR_PC2,-0.05053480677415568,0.026897848214783818,-1.8787676386091108,0.06027622759233929,-0.10325362053675695,0.0021840069884455915
HR_PC3,-0.05692195425195729,0.031084628046346183,-1.8311930310727373,0.06707173653368236,-0.11784670569561947,0.0040027971917048905
HR_PC4,0.04993649012413382,0.033825198317688265,1.4763103428138795,0.13986059884558794,-0.016359680348460005,0.11623266059672765
HR_PC5,-0.025079587891411396,0.04393125314406381,-0.5708825971607928,0.5680792284101779,-0.11118326184948849,0.061024086066665685
HR_PC6,-0.08244546582163996,0.0552884505431216,-1.491187852286393,0.1359121820903373,-0.1908088376471823,0.02591790600390237
HR_PC7,-0.11248528693423841,0.051960692451743846,-2.164815009705732,0.030401854885302716,-0.21432637275141858,-0.01064420111705823
HR_PC8,0.009655728911784761,0.05468952046381037,0.17655537715263447,0.8598576472109403,-0.09753376152904984,0.11684521935261936
HR_PC9,-0.13937948111307621,0.06377502891837664,-2.185486756759656,0.028853175916342403,-0.26437624090609485,-0.014382721320057565
HR_PC10,0.012510455474580044,0.0661655604199064,0.18907805503625993,0.850031640790898,-0.1171716599653454,0.1421925709145055
HR_PC11,0.01557014018875054,0.06119791559901274,0.2544227207143918,0.7991689997503117,-0.1043755703142364,0.1355158506917375
HR_PC12,0.013271632359426837,0.06443524427623926,0.2059685271391266,0.8368154958873453,-0.11301912575704277,0.13956239047589644
HR_PC13,0.07630983079633022,0.07666830243797076,0.9953243826947835,0.3195785226755732,-0.07395728073791691,0.22657694233057735
HR_PC14,-0.03336631720063764,0.0744669774218417,-0.44806863868830876,0.6541036607089945,-0.17931891098500474,0.11258627658372948
HR_PC15,-0.08903550264381131,0.08514550435630618,-1.0456864788917892,0.29570580745997876,-0.2559176246276697,0.07784661934004707
HR_PC16,0.012682461467772958,0.0864290482000254,0.1467384141315724,0.8833384966875651,-0.1567153602223532,0.18208028315789912
HR_PC17,-0.0554391659804291,0.09036818725628017,-0.613481001043056,0.5395583413938188,-0.2325575583509097,0.1216792263900515
BP_PC2,-0.03043737043351046,0.03846878427554303,-0.791222571929869,0.4288141219432309,-0.10583480214261555,0.04496006127559464
BP_PC3,0.04099857752656538,0.040059208873805936,1.0234495058481718,0.30609536258591963,-0.037516029115261584,0.11951318416839235
BP_PC4,0.013660709195485832,0.0441157395909085,0.309656130038021,0.7568224671333473,-0.0728045515540426,0.10012596994501426
BP_PC5,0.015594954739156494,0.06256984673027521,0.24924073741754393,0.8031745695736672,-0.10703969137037418,0.13822960084868718
BP_PC6,-0.014864962471179423,0.058950579533640815,-0.2521597342855054,0.8009175999717073,-0.13040597522487943,0.1006760502825206
BP_PC7,-0.005436149032605412,0.07113429153822098,-0.07642093447552688,0.9390842150029917,-0.14485679851329086,0.13398450044808002
BP_PC8,0.05489299352287914,0.07800718767958181,0.7036914822305181,0.48162492598310347,-0.09799828486435785,0.20778427191011611
Age,0.0034115524510733215,0.012104831228308304,0.2818339542888529,0.7780708340662938,-0.0203134807953467,0.027136585697493346
BMI,-0.013650611200711552,0.023549852294539937,-0.5796474232611838,0.5621524057145095,-0.05980747353924778,0.032506251137824675
Gender_bin,0.6093341088102173,0.20886798749642163,2.917316895298072,0.0035305687287505486,0.1999603757938686,1.018707841826566
