,Estimate,SE,z_stat,p_value,CI_low,CI_high
Intercept,-0.4795630610481493,0.5332740302591554,-0.899280733425357,0.36850314703169573,-1.524760954246617,0.5656348321503183
C(Muscle)[T.BF],0.47489704554545475,0.20871534275759343,2.275333663884071,0.02288592146072379,0.0658224907196388,0.8839716003712708
C(Muscle)[T.DL],0.24406545520337009,0.1832369059534616,1.3319666905167984,0.18287113437255842,-0.11507228110396767,0.6032031915107079
C(Muscle)[T.FDS],0.08176391224863057,0.32938631599513735,0.24823105356276437,0.803955640828,-0.5638214041021682,0.7273492285994293
C(Muscle)[T.GA],-1.161032683430039,0.20715245286666917,-5.604725733937227,2.0858498629487914e-08,-1.5670440303578417,-0.7550213365022365
C(Muscle)[T.TA],0.8738116931617929,0.250447508409147,3.4890013428853064,0.00048482871324973274,0.38294359666207245,1.3646797896615133
C(Muscle)[T.TB],-0.24983791463435712,0.1908484321538145,-1.3090907366375426,0.19050361672126226,-0.6238939681617696,0.12421813889305533
C(Muscle)[T.VL],0.33337408812123526,0.19544102726531595,1.7057528441491039,0.08805410624229938,-0.04968328642029474,0.7164314626627653
BP_PC3,0.04267325639919539,0.03737492403446357,1.141761689196912,0.2535530908472883,-0.03058024863327366,0.11592676143166444
BP_PC4,0.010930882812633505,0.04118524296502826,0.2654077534983896,0.7906953638541938,-0.06979071009335353,0.09165247571862054
BP_PC5,-0.03865358507331773,0.0466771332955838,-0.828105377177797,0.4076108245408755,-0.1301390852342374,0.05283191508760192
HR_PC10,0.0029548973313163903,0.05819557842084153,0.050775289317481126,0.9595045817392693,-0.11110634043300936,0.11701613509564214
BP_PC6,-0.00718601202966546,0.050460621473676324,-0.14240831404373744,0.88675749566086,-0.10608701275557952,0.09171498869624861
HR_PC9,-0.11636561405785413,0.0553960675155992,-2.100611456311159,0.035675087553029394,-0.2249399112735778,-0.007791316842130469
HR_PC3,-0.05605713484754639,0.030483293688800782,-1.8389461263544873,0.06592311041084245,-0.11580329260775304,0.003689022912660274
HR_PC2,-0.038709946568526915,0.024482165844721418,-1.581148776380548,0.11384402432352837,-0.08669410988771753,0.009274216750663693
HR_PC5,-0.032169475303172775,0.04083518736715206,-0.7877881155272962,0.43082065378309997,-0.1122049718447358,0.047866021238390254
Age,0.004217023807634798,0.011230798658226912,0.3754874373556413,0.707297987671228,-0.017794937080110713,0.026228984695380313
BMI,-0.007642942524063737,0.01995555443627954,-0.3829982548702699,0.7017210580191037,-0.04675511051070014,0.031469225462572664
Gender_bin,0.6210271568723791,0.1811122043579755,3.428963603385303,0.0006058907735740737,0.2660537591700889,0.9760005545746693
