PC,Domain,VarExp_pct,CumVar_pct
HR_PC1,HR,33.9652,33.9652
HR_PC2,HR,16.1214,50.0866
HR_PC3,HR,9.4011,59.4877
HR_PC4,HR,6.877,66.3647
HR_PC5,HR,4.6932,71.0579
HR_PC6,HR,3.5861,74.644
HR_PC7,HR,2.995,77.639
HR_PC8,HR,2.8478,80.4867
HR_PC9,HR,2.458,82.9447
HR_PC10,HR,2.212,85.1567
HR_PC11,HR,2.1154,87.2721
HR_PC12,HR,2.0721,89.3441
HR_PC13,HR,1.6421,90.9862
HR_PC14,HR,1.326,92.3122
HR_PC15,HR,1.0889,93.4011
HR_PC16,HR,1.0122,94.4132
HR_PC17,HR,0.9323,95.3455
BP_PC1,BP,29.5021,29.5021
BP_PC2,BP,16.8159,46.3179
BP_PC3,BP,13.2844,59.6023
BP_PC4,BP,10.995,70.5973
BP_PC5,BP,9.1954,79.7927
BP_PC6,BP,6.8341,86.6268
BP_PC7,BP,5.6056,92.2324
BP_PC8,BP,3.928,96.1604
