Component,rho_pooled,p_value,Significant
HR_PC9,-0.1346,0.0397,False
HR_PC3,-0.1314,0.04469,False
HR_PC13,0.1226,0.06105,False
HR_PC2,-0.0963,0.14173,False
BP_PC7,0.0936,0.15361,False
BP_PC3,0.0847,0.19653,False
HR_PC7,-0.0806,0.21904,False
BP_PC2,0.0745,0.25651,False
HR_PC12,-0.0727,0.26788,False
HR_PC5,-0.0702,0.28463,False
HR_PC6,0.0673,0.30532,False
HR_PC1,-0.0641,0.3286,False
HR_PC8,0.0598,0.3624,False
HR_PC4,0.052,0.42855,False
HR_PC15,-0.052,0.42871,False
BP_PC8,-0.0426,0.5169,False
HR_PC11,0.0306,0.64118,False
HR_PC14,-0.0227,0.73012,False
HR_PC17,-0.0141,0.83025,False
HR_PC16,0.0115,0.86152,False
HR_PC10,-0.0097,0.88278,False
BP_PC6,-0.0048,0.94119,False
BP_PC4,-0.0042,0.94934,False
BP_PC5,0.0039,0.95223,False
