Component,Muscle,rho,p_value,n,Significant
HR_PC1,BB,0.1904,0.195,48,False
HR_PC1,BF,-0.1777,0.3752,27,False
HR_PC1,GA,-0.2183,0.2739,27,False
HR_PC1,VL,0.2141,0.2474,31,False
HR_PC1,DL,0.1779,0.2852,38,False
HR_PC1,TB,-0.0982,0.5521,39,False
HR_PC1,TA,-0.2529,0.3446,16,False
HR_PC1,FDS,-0.4048,0.3199,8,False
HR_PC2,BB,-0.2459,0.092,48,False
HR_PC2,BF,-0.3389,0.0837,27,False
HR_PC2,GA,-0.295,0.1353,27,False
HR_PC2,VL,-0.3589,0.0474,31,True
HR_PC2,DL,0.0183,0.9133,38,False
HR_PC2,TB,0.0386,0.8157,39,False
HR_PC2,TA,0.1647,0.5421,16,False
HR_PC2,FDS,0.5952,0.1195,8,False
HR_PC3,BB,-0.2133,0.1456,48,False
HR_PC3,BF,0.0855,0.6716,27,False
HR_PC3,GA,-0.127,0.5278,27,False
HR_PC3,VL,-0.3605,0.0464,31,True
HR_PC3,DL,-0.2711,0.0998,38,False
HR_PC3,TB,-0.169,0.3036,39,False
HR_PC3,TA,0.3147,0.2352,16,False
HR_PC3,FDS,-0.0714,0.8665,8,False
HR_PC4,BB,0.0018,0.9904,48,False
HR_PC4,BF,0.2699,0.1733,27,False
HR_PC4,GA,-0.2605,0.1895,27,False
HR_PC4,VL,-0.0355,0.8497,31,False
HR_PC4,DL,0.2333,0.1586,38,False
HR_PC4,TB,0.0165,0.9206,39,False
HR_PC4,TA,0.3059,0.2493,16,False
HR_PC4,FDS,-0.0714,0.8665,8,False
HR_PC5,BB,-0.1016,0.4919,48,False
HR_PC5,BF,-0.0082,0.9674,27,False
HR_PC5,GA,0.204,0.3075,27,False
HR_PC5,VL,-0.1468,0.4308,31,False
HR_PC5,DL,0.0105,0.9501,38,False
HR_PC5,TB,-0.3214,0.046,39,True
HR_PC5,TA,0.2412,0.3682,16,False
HR_PC5,FDS,-0.381,0.3518,8,False
HR_PC6,BB,0.0695,0.6386,48,False
HR_PC6,BF,0.1533,0.4453,27,False
HR_PC6,GA,0.2034,0.309,27,False
HR_PC6,VL,-0.2024,0.2748,31,False
HR_PC6,DL,0.1136,0.4971,38,False
HR_PC6,TB,-0.075,0.65,39,False
HR_PC6,TA,-0.1471,0.5868,16,False
HR_PC6,FDS,0.119,0.7789,8,False
HR_PC7,BB,-0.2477,0.0896,48,False
HR_PC7,BF,-0.1719,0.3912,27,False
HR_PC7,GA,-0.1319,0.5119,27,False
HR_PC7,VL,0.0468,0.8027,31,False
HR_PC7,DL,0.1579,0.3437,38,False
HR_PC7,TB,-0.1542,0.3488,39,False
HR_PC7,TA,-0.2912,0.2739,16,False
HR_PC7,FDS,-0.4524,0.2604,8,False
HR_PC8,BB,0.2303,0.1154,48,False
HR_PC8,BF,0.2354,0.2372,27,False
HR_PC8,GA,-0.0522,0.7959,27,False
HR_PC8,VL,0.1601,0.3897,31,False
HR_PC8,DL,-0.1483,0.3743,38,False
HR_PC8,TB,-0.0201,0.9031,39,False
HR_PC8,TA,-0.0265,0.9225,16,False
HR_PC8,FDS,-0.1905,0.6514,8,False
HR_PC9,BB,-0.296,0.0411,48,False
HR_PC9,BF,-0.0272,0.893,27,False
HR_PC9,GA,0.1081,0.5915,27,False
HR_PC9,VL,-0.1911,0.303,31,False
HR_PC9,DL,-0.2833,0.0848,38,False
HR_PC9,TB,-0.3745,0.0188,39,True
HR_PC9,TA,-0.1618,0.5495,16,False
HR_PC9,FDS,0.2857,0.4927,8,False
HR_PC10,BB,-0.1429,0.3325,48,False
HR_PC10,BF,0.4156,0.0311,27,True
HR_PC10,GA,0.1304,0.5169,27,False
HR_PC10,VL,-0.0375,0.8413,31,False
HR_PC10,DL,0.0758,0.6509,38,False
HR_PC10,TB,-0.1118,0.4978,39,False
HR_PC10,TA,0.1059,0.6963,16,False
HR_PC10,FDS,-0.5476,0.16,8,False
HR_PC11,BB,0.0829,0.5752,48,False
HR_PC11,BF,-0.2067,0.3009,27,False
HR_PC11,GA,0.1579,0.4316,27,False
HR_PC11,VL,-0.0685,0.7141,31,False
HR_PC11,DL,0.1019,0.5428,38,False
HR_PC11,TB,-0.0586,0.723,39,False
HR_PC11,TA,0.3088,0.2445,16,False
HR_PC11,FDS,0.0714,0.8665,8,False
HR_PC12,BB,-0.1743,0.2361,48,False
HR_PC12,BF,0.0879,0.6627,27,False
HR_PC12,GA,0.1423,0.479,27,False
HR_PC12,VL,-0.1149,0.5382,31,False
HR_PC12,DL,-0.0904,0.5894,38,False
HR_PC12,TB,0.0643,0.6975,39,False
HR_PC12,TA,-0.1382,0.6097,16,False
HR_PC12,FDS,-0.5,0.207,8,False
HR_PC13,BB,0.2956,0.0414,48,False
HR_PC13,BF,0.0473,0.8147,27,False
HR_PC13,GA,0.0409,0.8394,27,False
HR_PC13,VL,0.1835,0.3232,31,False
HR_PC13,DL,-0.0901,0.5908,38,False
HR_PC13,TB,0.0532,0.7475,39,False
HR_PC13,TA,0.2294,0.3927,16,False
HR_PC13,FDS,0.1429,0.7358,8,False
HR_PC14,BB,-0.1145,0.4385,48,False
HR_PC14,BF,0.2531,0.2027,27,False
HR_PC14,GA,-0.1689,0.3998,27,False
HR_PC14,VL,-0.2073,0.2632,31,False
HR_PC14,DL,-0.2041,0.2191,38,False
HR_PC14,TB,0.145,0.3783,39,False
HR_PC14,TA,0.0,1.0,16,False
HR_PC14,FDS,-0.5714,0.139,8,False
HR_PC15,BB,-0.1375,0.3514,48,False
HR_PC15,BF,0.3521,0.0717,27,False
HR_PC15,GA,-0.0586,0.7715,27,False
HR_PC15,VL,-0.0129,0.9451,31,False
HR_PC15,DL,-0.1569,0.3468,38,False
HR_PC15,TB,-0.1226,0.4572,39,False
HR_PC15,TA,0.1,0.7125,16,False
HR_PC15,FDS,-0.5952,0.1195,8,False
HR_PC16,BB,0.0411,0.7813,48,False
HR_PC16,BF,-0.0824,0.6827,27,False
HR_PC16,GA,0.3347,0.088,27,False
HR_PC16,VL,0.0101,0.9571,31,False
HR_PC16,DL,-0.0904,0.5894,38,False
HR_PC16,TB,0.0178,0.9143,39,False
HR_PC16,TA,0.2,0.4577,16,False
HR_PC16,FDS,0.2619,0.5309,8,False
HR_PC17,BB,-0.2905,0.0452,48,False
HR_PC17,BF,-0.1478,0.462,27,False
HR_PC17,GA,-0.2727,0.1688,27,False
HR_PC17,VL,0.0157,0.9331,31,False
HR_PC17,DL,0.1101,0.5106,38,False
HR_PC17,TB,0.0121,0.9415,39,False
HR_PC17,TA,-0.3265,0.2172,16,False
HR_PC17,FDS,-0.2143,0.6103,8,False
BP_PC2,BB,-0.0015,0.9918,48,False
BP_PC2,BF,-0.0788,0.6961,27,False
BP_PC2,GA,0.1664,0.4068,27,False
BP_PC2,VL,0.0294,0.8751,31,False
BP_PC2,DL,-0.2672,0.1048,38,False
BP_PC2,TB,0.1591,0.3333,39,False
BP_PC2,TA,0.2,0.4577,16,False
BP_PC2,FDS,0.5476,0.16,8,False
BP_PC3,BB,0.1012,0.4936,48,False
BP_PC3,BF,-0.0632,0.7541,27,False
BP_PC3,GA,0.2079,0.298,27,False
BP_PC3,VL,-0.1601,0.3897,31,False
BP_PC3,DL,0.0263,0.8756,38,False
BP_PC3,TB,0.0786,0.6341,39,False
BP_PC3,TA,0.5412,0.0304,16,True
BP_PC3,FDS,1.0,0.0,8,True
BP_PC4,BB,0.0381,0.7971,48,False
BP_PC4,BF,0.0482,0.8111,27,False
BP_PC4,GA,-0.1939,0.3325,27,False
BP_PC4,VL,-0.221,0.2323,31,False
BP_PC4,DL,0.2098,0.2062,38,False
BP_PC4,TB,0.1005,0.5426,39,False
BP_PC4,TA,0.1206,0.6564,16,False
BP_PC4,FDS,0.9286,0.0009,8,True
BP_PC5,BB,-0.1614,0.273,48,False
BP_PC5,BF,-0.1252,0.5338,27,False
BP_PC5,GA,-0.0085,0.9662,27,False
BP_PC5,VL,-0.2149,0.2456,31,False
BP_PC5,DL,-0.2554,0.1217,38,False
BP_PC5,TB,0.0419,0.8,39,False
BP_PC5,TA,0.1971,0.4645,16,False
BP_PC5,FDS,0.8333,0.0102,8,True
BP_PC6,BB,-0.034,0.8187,48,False
BP_PC6,BF,-0.3515,0.0722,27,False
BP_PC6,GA,0.1756,0.381,27,False
BP_PC6,VL,0.4113,0.0215,31,True
BP_PC6,DL,-0.1354,0.4178,38,False
BP_PC6,TB,0.1923,0.2408,39,False
BP_PC6,TA,0.1971,0.4645,16,False
BP_PC6,FDS,-0.3095,0.4556,8,False
BP_PC7,BB,0.0981,0.5069,48,False
BP_PC7,BF,0.2009,0.315,27,False
BP_PC7,GA,0.0598,0.7668,27,False
BP_PC7,VL,0.123,0.5098,31,False
BP_PC7,DL,0.0165,0.9216,38,False
BP_PC7,TB,0.151,0.3588,39,False
BP_PC7,TA,0.3794,0.1472,16,False
BP_PC7,FDS,-0.0952,0.8225,8,False
BP_PC8,BB,-0.0757,0.6092,48,False
BP_PC8,BF,-0.0965,0.6321,27,False
BP_PC8,GA,-0.1511,0.4517,27,False
BP_PC8,VL,0.0653,0.727,31,False
BP_PC8,DL,0.088,0.5994,38,False
BP_PC8,TB,-0.2428,0.1364,39,False
BP_PC8,TA,-0.1118,0.6803,16,False
BP_PC8,FDS,-0.2143,0.6103,8,False
