Feature,VIF,Status
HR_PC1,1.57,Retained
HR_PC2,1.95,Retained
HR_PC3,1.5,Retained
HR_PC4,1.29,Retained
HR_PC5,1.38,Retained
HR_PC6,1.83,Retained
HR_PC7,1.26,Retained
HR_PC8,1.25,Retained
HR_PC9,1.67,Retained
HR_PC10,1.43,Retained
HR_PC11,1.49,Retained
HR_PC12,1.43,Retained
HR_PC13,1.53,Retained
HR_PC14,1.24,Retained
HR_PC15,1.28,Retained
HR_PC16,1.25,Retained
HR_PC17,1.17,Retained
BP_PC2,1.64,Retained
BP_PC3,1.45,Retained
BP_PC4,1.55,Retained
BP_PC5,2.67,Retained
BP_PC6,1.67,Retained
BP_PC7,1.93,Retained
BP_PC8,1.49,Retained
Age,2.49,Retained
Weight_kg,5.52,Retained
Height_cm,1.55,Retained
BMI,6.4,Retained
Gender_bin,3.04,Retained
Training_yrs,2.49,Retained
Stress_Index_pct,2.95,Retained
Sleep_Index_pct,1.79,Retained
Nutrition_Index_pct,1.7,Retained
Protein_g_kg,4.79,Retained
Calories_kcal,5.31,Retained
BP_PC1,60.14,Removed
Group_code,13.37,Removed
