Group,Muscle,mean,std,count
G1,BB,98.97,27.41,34
G1,BF,118.83,29.23,18
G1,DL,106.53,43.97,25
G1,GA,42.48,23.77,20
G1,TA,93.26,35.23,6
G1,TB,76.49,25.44,26
G1,VL,109.37,32.07,22
G2,BB,78.83,23.47,2
G2,BF,75.68,34.13,2
G2,DL,100.63,13.27,3
G2,GA,25.53,,1
G2,TB,99.95,43.64,2
G2,VL,134.25,16.08,2
G3,BB,69.92,17.11,3
G3,DL,76.39,39.2,4
G3,FDS,45.05,10.55,2
G3,GA,40.02,26.14,2
G3,TA,123.35,28.24,2
G3,TB,52.73,9.22,2
G3,VL,143.49,,1
G4,BB,62.21,31.95,9
G4,BF,96.29,37.87,7
G4,DL,80.94,31.28,6
G4,FDS,99.28,41.81,6
G4,GA,32.1,23.43,4
G4,TA,133.7,40.04,8
G4,TB,89.62,50.9,9
G4,VL,56.4,26.25,6
